,brand,name,price,Dòng xe:,Năm sản xuất:,Số km đã đi:,Động cơ:,Hộp số:,Xuất xứ:,Màu sắc:
51,Toyota, Vios  1.5AT 2011,365 triệu,Toyota Vios,2011,60.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Bạc
52,KIA, Sorento 2.4AT 2014,810 triệu,KIA Sorento,2014,26.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
53,Chevrolet, Spark 1.2MT 2010,143 triệu,Chevrolet Spark,2010,160.000 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Đỏ
54,Nissan, Teana 2.0AT 2010,610 triệu,Nissan Teana,2010,70.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
55,KIA, Morning 1.2AT 2009,285 triệu,Kia Morning,2009,50.000 km,Xăng 1.2AT,Tự động,Lắp ráp trong nước,Bạc
56,KIA, Morning 1.1AT 2011,295 triệu,Kia Morning,2011,50.000 km,Xăng 1.1L,Tự động,Lắp ráp trong nước,Ghi xám
57,Hyundai, Santafe 2.4AT 2015,"1,088 tỷ",Hyundai Santafe,2015,28.000 km,Diesel 2.4L,Tự động,Lắp ráp trong nước,Đen
58,Jaguar,  XE Portfolio AT 2016,"1,950 tỷ",Jaguar XE,2016,25.500 km,Xăng ,Tự động,Nhập khẩu,Đỏ
59,Mercedes-Benz,  S400 3.0AT 2014,"3,250 tỷ",Mercedes-Benz S-class,2014,18.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Trắng
60,KIA, Sorento 2.0AT 2015,810 triệu,KIA Sorento,2015,35.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Vàng cát
61,Mercedes-Benz, S400L 3.0AT 2015,"3,260 tỷ",Mercedes-Benz S-class,2015,11.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Đen
62,Zotye, Z300 1.6AT 2015,395 triệu,,2015,30.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Trắng
63,Toyota, Innova G 2.0MT 2008,428 triệu,Toyota Innova,2008,120.000 km,Xăng ,Số sàn,Lắp ráp trong nước,Vàng cát
64,Mercedes-Benz, S500 2.0AT 2003,520 triệu,Mercedes-Benz S-class,2003,110.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
65,Hyundai, i20 1.4AT 2010,385 triệu,Hyundai i20,2010,70.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Bạc
66,Mercedes-Benz, C300 3.0AT 2016,"2,600 tỷ",Mercedes-Benz C-class,2016,7.000 km,Xăng ,Tự động,Nhập khẩu,Trắng
67,Toyota, Land Cruiser Prado TXL 2011,"1,530 tỷ",Toyota Land Cruiser Prado,2011,80.000 km,Xăng 2.7L,Tự động,Nhập khẩu,Đen
68,Audi, A5 2.0AT 2013,"1,580 tỷ",Audi A5,2013,30.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
69,Toyota, Vios G 1.5L 2011,480 triệu,Toyota Vios,2011,60.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Bạc
70,Toyota, Venza 3.5AT 2009,960 triệu,Toyota Venza,2009,44.000 km,Xăng 3.5L,Tự động,Lắp ráp trong nước,Nâu
71,Mercedes-Benz, GLK300 3.0AT 2009,890 triệu,Mercedes-Benz GLK-class,2009,45.000 km,Xăng 3.0L,Tự động,Lắp ráp trong nước,Trắng
72,Toyota, Camry 2.4AT 2008,630 triệu,Toyota Camry,2008,125.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
73,Mitsubishi, Triton 2.5AT 2013,480 triệu,Mitsubishi Triton,2013,68.000 km,Xăng 2.5L,Tự động,Nhập khẩu,Đen
74,KIA, Morning Van 1.0AT 2013,288 triệu,Kia Morning,2013,40.000 km,Xăng 1.0,Tự động,Lắp ráp trong nước,Đỏ
75,Toyota, Hiace 2.5MT 2009,380 triệu,Toyota Hiace,2009,60.000 km,Xăng 2.5L,Số sàn,Lắp ráp trong nước,Bạc
76,Ford, Laser 1.8MT 2003,220 triệu,Ford Laser,2003,220.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Đồng
77,Toyota, Yaris 1.5AT 2016,640 triệu,Toyota Yaris,2016,3.168 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
78,Mercedes-Benz, C200 2014,"1,090 tỷ",Mercedes-Benz C-class,2014,25.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
79,Mitsubishi, Pajero Sport 2.4AT 2014,809 triệu,Mitsubishi Pajero Sport,2014,40.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Vàng cát
80,Mitsubishi, Zinger 2.4MT 2008,345 triệu,Mitsubishi Zinger,2008,80.000 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Bạc
81,Mitsubishi, Pajero Sport 3.0AT 2012,710 triệu,Mitsubishi Pajero Sport,2012,43.000 km,Xăng 3.0L,Tự động,Lắp ráp trong nước,Trắng
82,Mitsubishi, Zinger 2.4MT 2009,405 triệu,Mitsubishi Zinger,2009,90.000 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Đen
83,Ford, Ranger XLS MT 2012,489 triệu,Ford Ranger,2012,38.000 km,Diesel ,Số sàn,Nhập khẩu,Đen
84,Ford, Fiesta 1.0AT 2014,495 triệu,Ford Fiesta,2014,5.900 km,Xăng 1.0L,Tự động,Lắp ráp trong nước,Đỏ
85,Ford, Focus 1.8MT 2011,420 triệu,Ford Focus,2011,37.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Đen
86,Ford, Focus 2.0MT 2009,365 triệu,Ford Focus,2009,67.000 km,Xăng ,Số sàn,Lắp ráp trong nước,Vàng cát
87,Ford, Laser 1.8AT 2003,235 triệu,Ford Laser,2003,15.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Xanh lá
88,Ford, Escape 2.3AT 2013,590 triệu,Ford Escape,2013,67.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Bạc
89,Ford, Everest 2.5AT 2009,495 triệu,Ford Everest,2009,73.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Hồng phấn
90,Ford, Escape 2.3AT 2009,515 triệu,Ford Escape,2009,67.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Ghi xám
91,Ford, Escape 2.3AT 2008,420 triệu,Ford Escape,2008,110.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đen
92,Ford, Focus 2.0AT 2015,668 triệu,Ford Focus,2015,18.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đỏ
93,Ford, Laser 1.8MT 2002,225 triệu,Ford Laser,2002,17.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Xanh lá
94,Ford, Focus 1.8MT 2007,258 triệu,Ford Focus,2007,87.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Đen
95,Ford, Transit 2.4MT 2015,799 triệu,Ford Transit,2015,57.000 km,Diesel 2.4L,Số sàn,Lắp ráp trong nước,Trắng
96,Ford, Focus 1.8AT 2010,409 triệu,Ford Focus,2010,50.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Bạc
97,Mazda, 3 1.5AT 2015,628 triệu,Mazda 3,2015,4.500 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Đen
98,Mazda, 6 2.0AT 2015,799 triệu,Mazda 6,2015,25.515 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
99,Mercedes-Benz, C250 2.5AT 2013,980 triệu,Mercedes-Benz C-class,2013,40.000 km,Xăng 2.5L,Tự động,Nhập khẩu,Nâu
100,KIA, Kia Morning 1.0MT 2005,165 triệu,Kia Morning,2005,150.000 km,Xăng 1.0L,Số sàn,Nhập khẩu,Bạc
101,Daewoo, Lacetti SE 1.6MT 2010,370 triệu,,2010,60.000 km,Xăng 1.6L,Số sàn,Nhập khẩu,Đen
